Per call time  -  Saturday 12 @ 14:03

  calls      time  function
    173    0.0000  <frozen importlib._bootstrap_external>:1349(_get_parent_path)
     46    0.0000  image.py:347(texture_update)
      5    0.0000  home_widgets.py:32(__init__)
     90    0.0000  <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
     98    0.0000  scrollview.py:301(_get_vbar)
     10    0.0000  fields.py:202(update_rects)
     38    0.0000  animation.py:231(stop)
    155    0.0000  _parser.py:449(_uniq)
     19    0.0000  {built-in method time.localtime}
    282    0.0000  enum.py:1544(_get_value)
      1    0.0000  fields.py:21(__init__)
    106    0.0000  <frozen importlib._bootstrap>:445(cb)
      1    0.0000  main.py:221(_init_secondary_screens)
      2    0.0000  __init__.py:1768(update_viewport)
     40    0.0000  _parser.py:969(parse)
      2    0.0000  decoder.py:343(raw_decode)
    105    0.0000  {built-in method nt._path_splitroot}
     90    0.0000  <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
     33    0.0000  context.py:72(pop)
      1    0.0000  Image.py:389(init)
    226    0.0000  relativelayout.py:286(to_local)
    112    0.0000  __init__.py:100(__init__)
    305    0.0000  {built-in method from_bytes}
     26    0.0000  home_widgets.py:85(update_text_size)
    136    0.0000  <frozen importlib._bootstrap_external>:159(_path_isfile)
    235    0.0000  enum.py:38(_is_descriptor)
      1    0.0000  scatter.py:104(Scatter)
    108    0.0000  <frozen importlib._bootstrap>:82(remove)
      1    0.0000  main.py:195(_init_main_screens)
    105    0.0000  <frozen importlib._bootstrap_external>:1520(find_spec)
    103    0.0000  __init__.py:625(_default_line_options)
      2    0.0000  {method 'read' of '_io.TextIOWrapper' objects}
    262    0.0000  enum.py:48(_is_dunder)
      1    0.0000  textinput.py:451(TextInput)
     19    0.0000  {method 'format_map' of 'str' objects}
    275    0.0000  enum.py:59(_is_sunder)
      1    0.0000  TiffImagePlugin.py:1(<module>)
     97    0.0000  <frozen importlib._bootstrap>:48(_new_module)
     21    0.0000  floatlayout.py:134(add_widget)
    280    0.0000  {built-in method builtins.delattr}
     61    0.0000  <frozen genericpath>:133(_splitext)
    316    0.0000  <frozen importlib._bootstrap>:1226(__exit__)
     27    0.0000  label.py:443(on_touch_down)
    566    0.0000  {built-in method nt.fspath}
      5    0.0000  screenmanager.py:597(on_complete)
    702    0.0000  animation.py:399(on_progress)
    732    0.0000  textinput.py:3296(_get_cursor_row)
     31    0.0000  typing.py:175(_type_check)
    153    0.0000  <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
     22    0.0000  __init__.py:1611(findCaller)
      1    0.0000  start_screen_utils.py:60(take_screenshot)
      7    0.0000  functools.py:35(update_wrapper)
     10    0.0000  <frozen importlib._bootstrap_external>:1644(_fill_cache)
     22    0.0000  logger.py:286(_write_message)
    530    0.0000  {built-in method _imp.acquire_lock}
     66    0.0000  {built-in method _winapi.LCMapStringEx}
    526    0.0000  {built-in method builtins.issubclass}
     10    0.0000  window_sdl2.py:857(_update_modifiers)
    100    0.0000  dampedscroll.py:107(on_overscroll)
     11    0.0000  textinput.py:3225(_adjust_viewport)
    173    0.0000  _compiler.py:398(_simple)
    316    0.0000  <frozen importlib._bootstrap>:1222(__enter__)
    530    0.0000  {built-in method _imp.release_lock}
     15    0.0000  containers.py:253(__init__)
     48    0.0000  __init__.py:700(_set_image)
    184    0.0000  <frozen importlib._bootstrap>:632(cached)
     34    0.0000  scrollview.py:848(on_touch_move)
      4    0.0000  select_date_screen.py:187(update_selected_day)
      1    0.0000  select_date_screen.py:118(create_calendar_grid)
    103    0.0000  __init__.py:826(_texture_fill)
      3    0.0000  bars.py:114(__init__)
     90    0.0000  <frozen importlib._bootstrap_external>:1202(path_stats)
     19    0.0000  {method 'timetuple' of 'datetime.datetime' objects}
      1    0.0000  textinput.py:1(<module>)
     38    0.0000  animation.py:239(cancel)
    614    0.0000  __init__.py:860(_get_text)
    173    0.0000  <frozen importlib._bootstrap_external>:1339(_find_parent_path_names)
      4    0.0000  widget.py:1102(to_window)
    150    0.0000  scrollview.py:655(to_local)
     66    0.0000  <frozen ntpath>:51(normcase)
    510    0.0000  __init__.py:1992(on_joy_axis)
      7    0.0000  buttons.py:285(__init__)
     25    0.0000  clock.py:1137(trigger_function)
      2    0.0000  scrollview.py:1024(scroll_to)
    225    0.0000  textinput.py:2656(_get_line_options)
     19    0.0000  animation.py:223(start)
    156    0.0000  {built-in method fromkeys}
    106    0.0000  <frozen importlib._bootstrap>:412(__init__)
      4    0.0000  start_screen.py:181(update_text_size)
     24    0.0000  <frozen ntpath>:107(join)
     40    0.0000  _compiler.py:573(_code)
      6    0.0000  scrollview.py:1167(add_widget)
    146    0.0000  <frozen importlib._bootstrap_external>:67(_relax_case)
    454    0.0000  {built-in method builtins.abs}
     72    0.0000  __init__.py:663(_get_kivy_vkheight)
    112    0.0000  __init__.py:175(add_mipmap)
      8    0.0000  home_widgets.py:211(__init__)
    393    0.0000  __init__.py:467(get_cached_extents)
     13    0.0000  gridlayout.py:458(_finalize_rows_cols_sizes)
     48    0.0000  __init__.py:666(_img_iterate)
      2    0.0000  gridlayout.py:277(__init__)
    374    0.0000  context.py:94(get_current_context)
      1    0.0000  DdsImagePlugin.py:1(<module>)
      5    0.0000  typing.py:730(<genexpr>)
     13    0.0000  enum.py:986(_find_data_repr_)
     19    0.0000  animation.py:299(_initialize)
     42    0.0000  Image.py:3641(register_open)
     23    0.0000  textinput.py:645(cursor_index)
     90    0.0000  {built-in method _imp._fix_co_filename}
      1    0.0000  home_screen_utils.py:139(_full_rebuild_task_display)
     19    0.0000  animation.py:318(_clock_install)
    164    0.0000  {method 'extend' of 'list' objects}
     80    0.0000  animation.py:251(stop_property)
     14    0.0000  containers.py:243(_update)
     22    0.0000  __init__.py:1660(_log)
      3    0.0000  base_screen.py:67(add_bottom_bar)
    384    0.0000  {built-in method _json.encode_basestring_ascii}
      9    0.0000  {built-in method _abc._abc_init}
     19    0.0000  logger.py:383(write)
     57    0.0000  {method 'isoformat' of 'datetime.datetime' objects}
    178    0.0000  {method 'remove' of 'list' objects}
     53    0.0000  {method 'findall' of 're.Pattern' objects}
    291    0.0000  {built-in method _thread.get_ident}
     25    0.0000  textinput.py:3206(_set_cursor)
      9    0.0000  scrollview.py:958(on_touch_up)
